Job Title,Company Name,Location,Link,Salary
Python Developer,Digizilla -,"Nasr City, Cairo, Egypt ",https://wuzzuf.net/jobs/p/O8fwJQJPu73G-Python-Developer-Digizilla-Cairo-Egypt,Not mentioned
Senior Python Django Developer,Money Loop  -,"New Cairo, Cairo, Egypt ",https://wuzzuf.net/jobs/p/7MavtRd9TRxG-Senior-Python-Django-Developer-Money-Loop-Cairo-Egypt,Not mentioned
Senior Python Developer,"Nile Bits, LLC -","6th of October, Giza, Egypt ",https://wuzzuf.net/jobs/p/gSlIpqMnrkqV-Senior-Python-Developer-Nile-Bits-LLC-Giza-Egypt,Not mentioned
Senior Python Developer,TechJump -,"Alexandria, Egypt ",https://wuzzuf.net/jobs/p/RPXwKHqHnJgv-Senior-Python-Developer-TechJump-Alexandria-Egypt,Not mentioned
DAZU Pay - Python Developer (FinTech),Bright Creations -,"Smart Village, Giza, Egypt ",https://wuzzuf.net/jobs/p/cYCloMvK8u3q-DAZU-Pay---Python-Developer-FinTech-Bright-Creations-Giza-Egypt,Not mentioned
Python/Django Developer,Codereels -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/BDVtFnK7v6TM-PythonDjango-Developer-Codereels-Cairo-Egypt,Not mentioned
Python Developer,Afaqy -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/ZB311hI2TDVd-Python-Developer-Afaqy-Cairo-Egypt,Not mentioned
BackEnd Developer Intern Python & Nodejs,Visionare -,"Smouha, Alexandria, Egypt ",https://wuzzuf.net/internship/hfzxszb6CEUf-BackEnd-Developer-Intern-Python-Nodejs-Visionare-Alexandria-Egypt,Not mentioned
Python Developer,ESLSCA University -,"Giza, Egypt ",https://wuzzuf.net/jobs/p/kj2IrH3inrwr-Python-Developer-ESLSCA-University-Giza-Egypt,Not mentioned
Senior Odoo Developer,kaizen -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/uy2gvX9Bep2P-Senior-Odoo-Developer-kaizen-Cairo-Egypt,Not mentioned
Odoo Developer,Alwadi Holding -,"Mohandessin, Giza, Egypt ",https://wuzzuf.net/jobs/p/G6gEgZfThAOa-Odoo-Developer-Alwadi-Holding-Giza-Egypt,Not mentioned
UX Engineer,Storlytics  -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/GUkdxcBxx3DN-UX-Engineer-Storlytics-Cairo-Egypt,Not mentioned
Renewable Energy Engineer,Storlytics  -,"Cairo, Egypt ",https://wuzzuf.net/jobs/p/4wF8fGatys2P-Renewable-Energy-Engineer-Storlytics-Cairo-Egypt,Not mentioned
Senior Full Stack Developer,Palm Outsourcing -,"London, United Kingdom ",https://wuzzuf.net/jobs/p/aUbPU6g2fkkm-Senior-Full-Stack-Developer-Palm-Outsourcing-London-United-Kingdom,Not mentioned
Full Stack Software Developer,RITEC -,"Maadi, Cairo, Egypt ",https://wuzzuf.net/jobs/p/vfsw5sLFyHkc-Full-Stack-Software-Developer-RITEC-Cairo-Egypt,Not mentioned
